Year,Age,Female,Male,Total
1816,0,390373.68,405135.63,795509.31
1816,1,368928.28,382775.73,751704.01
1816,2,352525.76,365653.73,718179.49
1816,3,341261.43,353940.22,695201.65
1816,4,339910.85,352494.69,692405.54
1816,5,312189.89,329070.27,641260.16
1816,6,306829.9,323409.86,630239.76
1816,7,302157.72,318452.72,620610.44
1816,8,296102.61,312050.17,608152.78
1816,9,284719.88,300016.98,584736.86
1816,10,290402.52,292109.53,582512.05
1816,11,287882.01,289533.83,577415.84
1816,12,285514.9,287109.68,572624.58
1816,13,283972.32,285500.1,569472.42
1816,14,284228.25,285746.85,569975.1
1816,15,296931.45,288541.58,585473.03
1816,16,291779.76,283588.09,575367.85
1816,17,283929.55,276053.23,559982.78
1816,18,274550.27,267101.85,541652.12
1816,19,264808.97,257715.24,522524.21
1816,20,289681.39,249802.67,539484.06
1816,21,275389.82,237482.88,512872.7
1816,22,263511.17,227170.42,490681.59
1816,23,252987.71,217970.91,470958.62
1816,24,243429.92,209573.12,453003.04
1816,25,241275.33,197507.46,438782.79
1816,26,239764.26,196185.27,435949.53
1816,27,239497.27,195920.09,435417.36
1816,28,241767.25,197757.62,439524.87
1816,29,247695.89,202629.57,450325.46
1816,30,225316.45,203955.4,429271.85
1816,31,224060.0,202817.93,426877.93
1816,32,222171.9,201104.73,423276.63
1816,33,219235.25,198426.26,417661.51
1816,34,216216.4,195695.67,411912.07
1816,35,214979.95,196041.22,411021.17
1816,36,210591.45,192027.3,402618.75
1816,37,205128.21,187031.98,392160.19
1816,38,198570.3,181025.68,379595.98
1816,39,190730.09,173873.82,364603.91
1816,40,198644.04,167005.16,365649.2
1816,41,191946.6,161370.55,353317.15
1816,42,187298.35,157467.32,344765.67
1816,43,183912.77,154626.45,338539.22
1816,44,180198.24,151530.53,331728.77
1816,45,172609.75,148004.88,320614.63
1816,46,172800.09,148216.96,321017.05
1816,47,172313.52,147859.22,320172.74
1816,48,171399.57,147149.37,318548.94
1816,49,170877.07,146769.56,317646.63
1816,50,159957.41,146954.96,306912.37
1816,51,157240.16,144524.69,301764.85
1816,52,154503.05,142070.43,296573.48
1816,53,151246.23,139134.54,290380.77
1816,54,147053.15,135315.38,282368.53
1816,55,141822.67,134071.27,275893.94
1816,56,138626.46,131033.97,269660.43
1816,57,134866.52,127435.35,262301.87
1816,58,130348.27,123108.74,253457.01
1816,59,124336.08,117350.67,241686.75
1816,60,121834.55,115121.04,236955.59
1816,61,116177.81,109760.18,225937.99
